"NOME";"UNIDADE DE FEDERACAO/PAIS";"CARGO";"NUMERO";"PARTIDO"
"APARECIDA DA SILVA PAULINO";"SAO PAULO";"DEPUTADO ESTADUAL";"90247";"PARTIDO REPUBLICANO DA ORDEM SOCIAL"
"APARECIDA DE FATIMA LEAO";"SAO PAULO";"DEPUTADO FEDERAL";"1488";"PARTIDO TRABALHISTA BRASILEIRO"
"APARECIDA MARIA DE OLIVEIRA SILVA";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"22033";"PARTIDO DA REPUBLICA"
"APARECIDA VIANA LAURINDO";"PARANA";"DEPUTADO ESTADUAL";"51065";"PATRIOTA"
"APARECIDO BERNARDO DA SILVA";"GOIAS";"DEPUTADO ESTADUAL";"43210";"PARTIDO VERDE"
"ARACELIA DOS SANTOS CAVALCANTE";"PARA";"DEPUTADO FEDERAL";"2822";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO"
"ARIANE KETHELLY PEREIRA DA SILVA";"PARAIBA";"DEPUTADO ESTADUAL";"65456";"PARTIDO COMUNISTA DO BRASIL"
"ARIANE MARTINS DA SILVA CRUZ";"AMAPA";"DEPUTADO ESTADUAL";"25321";"DEMOCRATAS"
"ARIEL FERNANDES DUARTE";"ALAGOAS";"DEPUTADO ESTADUAL";"51222";"PATRIOTA"
"ARIELSON CARVALHO DE SOUZA";"BAHIA";"DEPUTADO FEDERAL";"1701";"PARTIDO SOCIAL LIBERAL"
"ARIOVALDO NOGUEIRA DE SOUZA FILHO";"GOIAS";"DEPUTADO ESTADUAL";"31777";"PARTIDO HUMANISTA DA SOLIDARIEDADE"
"ARISTIDES LEO PARDO";"PARANA";"DEPUTADO FEDERAL";"6521";"PARTIDO COMUNISTA DO BRASIL"
"ARLINDO AMARO DOS SANTOS";"SAO PAULO";"DEPUTADO ESTADUAL";"19054";"PODEMOS"
"ARLINDO JULIEL DE SANTANA LIMA";"SAO PAULO";"DEPUTADO ESTADUAL";"27300";"DEMOCRACIA CRISTA"
"ARNALDO BEZERRA ASSUNCAO";"ALAGOAS";"DEPUTADO ESTADUAL";"50147";"PARTIDO SOCIALISMO E LIBERDADE"
"ARTEMIO MOREIRA PRIMO";"MATO GROSSO DO SUL";"DEPUTADO ESTADUAL";"19633";"PODEMOS"
"ARTHUR DE SOUZA NETO";"SAO PAULO";"DEPUTADO FEDERAL";"3689";"PARTIDO TRABALHISTA CRISTAO"
"ARTHUR KLEBER CARDOSO";"DISTRITO FEDERAL";"DEPUTADO DISTRITAL";"70401";"AVANTE"
"ARTUR RIBEIRO RODRIGUES";"TOCANTINS";"2º SUPLENTE";"455";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA"
"ARY AHMED";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"12123";"PARTIDO DEMOCRATICO TRABALHISTA"
"AUDIVAL AMELIO DA SILVA NETO";"ALAGOAS";"DEPUTADO FEDERAL";"2828";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO"
"AUGUSTA NASCIMENTO DE CASTRO";"AMAZONAS";"DEPUTADO ESTADUAL";"43843";"PARTIDO VERDE"
"AUGUSTO CEZAR DE OLIVEIRA";"RIO GRANDE DO SUL";"DEPUTADO ESTADUAL";"11007";"PARTIDO PROGRESSISTA"
"AZUILO CORREA DE BRITO";"RORAIMA";"DEPUTADO FEDERAL";"5151";"PATRIOTA"
"BARBARA ANGELICA LIMA DOS SANTOS";"AMAZONAS";"DEPUTADO FEDERAL";"5177";"PATRIOTA"
"BARBARA BARROS BOTEGA";"MINAS GERAIS";"DEPUTADO ESTADUAL";"30004";"PARTIDO NOVO"
"BARBARA LORANA SILVA";"MINAS GERAIS";"DEPUTADO FEDERAL";"3399";"PARTIDO DA MOBILIZACAO NACIONAL"
"BARBARA RAISSA CASTILHO DE LIMA";"PARA";"DEPUTADO ESTADUAL";"17300";"PARTIDO SOCIAL LIBERAL"
"BEATRIZ ALVES DA SILVA";"MINAS GERAIS";"DEPUTADO FEDERAL";"2516";"DEMOCRATAS"
"BEATRIZ DOS SANTOS RAMOS";"SAO PAULO";"DEPUTADO FEDERAL";"4401";"PARTIDO REPUBLICANO PROGRESSISTA"
"BENEDITA JORGINA NASCIMENTO DIAS";"SAO PAULO";"DEPUTADO FEDERAL";"1779";"PARTIDO SOCIAL LIBERAL"
"BENJAMIN VALMIR CANDIDO PEREIRA";"SAO PAULO";"DEPUTADO ESTADUAL";"27630";"DEMOCRACIA CRISTA"
"BERLINQUE ANTONIO MONTEIRO CANTELMO";"MINAS GERAIS";"DEPUTADO ESTADUAL";"31121";"PARTIDO HUMANISTA DA SOLIDARIEDADE"
"BERNADETE DE OLIVEIRA CARDOSO";"SERGIPE";"DEPUTADO ESTADUAL";"36115";"PARTIDO TRABALHISTA CRISTAO"
"BIBIANA NOGUEIRA SIQUEIRA ";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"17183";"PARTIDO SOCIAL LIBERAL"
"BISMARQUE ROBERTO DE SOUSA MIRANDA";"TOCANTINS";"DEPUTADO FEDERAL";"1313";"PARTIDO DOS TRABALHADORES"
"BRENDA LIZ FRANCA ROCHA";"GOIAS";"DEPUTADO ESTADUAL";"11222";"PARTIDO PROGRESSISTA"
"BRENDA RODRIGUES CABRAL LIMA";"RORAIMA";"DEPUTADO FEDERAL";"9002";"PARTIDO REPUBLICANO DA ORDEM SOCIAL"
"BRENO EMMANUEL DE ALMEIDA MOURA";"MINAS GERAIS";"DEPUTADO ESTADUAL";"77577";"SOLIDARIEDADE"
"BRENO KAYWY SOARES LOPES";"PIAUI";"1º SUPLENTE";"177";"PARTIDO SOCIAL LIBERAL"
"BRUNA CRISTINA VENCESLAU";"GOIAS";"VICE-GOVERNADOR";"21";"PARTIDO COMUNISTA BRASILEIRO"
"BRUNO OTAVIO CARRIJO SILVA TOMAZINI AMORIM";"TOCANTINS";"DEPUTADO FEDERAL";"5151";"PATRIOTA"
"CACIO DE ALENCAR CASTRO";"PERNAMBUCO";"DEPUTADO FEDERAL";"5138";"PATRIOTA"
"CAIO LUSTOSA BUCAR";"PIAUI";"DEPUTADO ESTADUAL";"28111";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO"
"CAMILA RAMOS FERREIRA";"AMAZONAS";"DEPUTADO ESTADUAL";"25625";"DEMOCRATAS"
"CARLA ADRIANA MACEDO LIRA";"PARAIBA";"DEPUTADO ESTADUAL";"77756";"SOLIDARIEDADE"
"CARLA ANDREA GOMES SOARES";"MINAS GERAIS";"DEPUTADO FEDERAL";"1578";"MOVIMENTO DEMOCRATICO BRASILEIRO"
"CARLA CRISTINA RIBEIRO DE PONTES";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"36135";"PARTIDO TRABALHISTA CRISTAO"
"CARLA GONCALVES GARVAO";"MINAS GERAIS";"DEPUTADO ESTADUAL";"70686";"AVANTE"
"CARLEANE GUEDES VIEIRA";"AMAZONAS";"DEPUTADO ESTADUAL";"43014";"PARTIDO VERDE"
"CARLOS ALBERTO BEZERRA";"PERNAMBUCO";"DEPUTADO ESTADUAL";"45021";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA"
"CARLOS ALBERTO DA FONSECA";"SAO PAULO";"DEPUTADO FEDERAL";"5112";"PATRIOTA"
"CARLOS ALBERTO DA SILVA ALCANTARA";"PARA";"1º SUPLENTE";"222";"PARTIDO DA REPUBLICA"
"CARLOS ALBERTO DA SILVA NICACIO";"AMAZONAS";"DEPUTADO ESTADUAL";"44456";"PARTIDO REPUBLICANO PROGRESSISTA"
"CARLOS ALBERTO DE OLIVEIRA RODRIGUES";"RIO DE JANEIRO";"DEPUTADO FEDERAL";"3542";"PARTIDO DA MULHER BRASILEIRA"
"CARLOS ALBERTO PEREIRA RODRIGUES";"ACRE";"DEPUTADO ESTADUAL";"28120";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO"
"CARLOS ALBERTO TUFVESSON";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"43143";"PARTIDO VERDE"
"CARLOS BIANCHINI PONTES";"DISTRITO FEDERAL";"DEPUTADO DISTRITAL";"28012";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO"
"CARLOS CESAR JORGE SABA E SILVA";"MARANHAO";"DEPUTADO FEDERAL";"1778";"PARTIDO SOCIAL LIBERAL"
"CARLOS DANILO ARANHA ALVES";"RONDONIA";"DEPUTADO ESTADUAL";"17555";"PARTIDO SOCIAL LIBERAL"
"CARLOS EDUARDO CINTRA DA COSTA PEREIRA";"PERNAMBUCO";"DEPUTADO FEDERAL";"7790";"SOLIDARIEDADE"
"CARLOS EVANDRO ROCHA";"RORAIMA";"DEPUTADO FEDERAL";"1974";"PODEMOS"
"CARLOS MARTINS DE SOUZA";"DISTRITO FEDERAL";"DEPUTADO DISTRITAL";"54017";"PARTIDO PATRIA LIVRE"
"CARLOS PAES DE ALMEIDA FILHO";"SAO PAULO";"DEPUTADO FEDERAL";"2831";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO"
"CARLOS RINALDO NOGUEIRA MARTINS";"AMAPA";"DEPUTADO FEDERAL";"5040";"PARTIDO SOCIALISMO E LIBERDADE"
"CARLOS ROBERTO CERQUEIRA DA SILVA";"SAO PAULO";"DEPUTADO ESTADUAL";"19511";"PODEMOS"
"CARLOS RUBENS DE REZENDE";"SERGIPE";"DEPUTADO ESTADUAL";"51321";"PATRIOTA"
"CARMELITA DIAS FERNANDES";"TOCANTINS";"DEPUTADO ESTADUAL";"15055";"MOVIMENTO DEMOCRATICO BRASILEIRO"
"CARMEM BETTI BORGES DE OLIVEIRA";"MATO GROSSO";"DEPUTADO FEDERAL";"2077";"PARTIDO SOCIAL CRISTAO"
"CARMEM LORENI BIAZOLOR MIRANDA";"RIO GRANDE DO SUL";"DEPUTADO ESTADUAL";"20247";"PARTIDO SOCIAL CRISTAO"
"CAROLINA DE MOURA E RAMEH";"SAO PAULO";"DEPUTADO FEDERAL";"1900";"PODEMOS"
"CASSIO MURILO DOS SANTOS JUNIOR";"SERGIPE";"1º SUPLENTE";"510";"PARTIDO DA MOBILIZACAO NACIONAL"
"CATARINO JOSE DA SILVA";"GOIAS";"DEPUTADO FEDERAL";"1308";"PARTIDO DOS TRABALHADORES"
"CATIA DINES COSTA GUSMAO";"SAO PAULO";"DEPUTADO FEDERAL";"2789";"DEMOCRACIA CRISTA"
"CELIA REGINA MACIEL DE SOUZA SENA";"RORAIMA";"DEPUTADO ESTADUAL";"35147";"PARTIDO DA MULHER BRASILEIRA"
"CELIA REGINA PIONTKIEVICZ";"PARANA";"DEPUTADO FEDERAL";"1335";"PARTIDO DOS TRABALHADORES"
"CELINI CRISTIANE DOS SANTOS SOUZA";"AMAZONAS";"DEPUTADO ESTADUAL";"50321";"PARTIDO SOCIALISMO E LIBERDADE"
"CELIO DA SILVA SANTOS";"RIO DE JANEIRO";"DEPUTADO FEDERAL";"2291";"PARTIDO DA REPUBLICA"
"CELIO DE NORONHA JUNIOR";"MINAS GERAIS";"DEPUTADO FEDERAL";"5415";"PARTIDO PATRIA LIVRE"
"CELIS REGINA DA COSTA SCHNEIDER";"PARANA";"DEPUTADO FEDERAL";"1280";"PARTIDO DEMOCRATICO TRABALHISTA"
"CELSO ALVES DE LIMA";"PARAIBA";"2º SUPLENTE";"151";"MOVIMENTO DEMOCRATICO BRASILEIRO"
"CELSO DO AMARAL";"SAO PAULO";"DEPUTADO ESTADUAL";"44244";"PARTIDO REPUBLICANO PROGRESSISTA"
"CELSO TENANI MELCHIADES";"PARANA";"2º SUPLENTE";"283";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO"
"CESAR ALCANTARA DA SILVA";"GOIAS";"DEPUTADO ESTADUAL";"28400";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO"
"CESAR EUSTAQUIO MALTA AMARAL";"ALAGOAS";"DEPUTADO ESTADUAL";"51234";"PATRIOTA"
"CESAR FIGUEIREDO CURSINO";"PARA";"DEPUTADO ESTADUAL";"54321";"PARTIDO PATRIA LIVRE"
"CESAR RENATO DA SILVA";"SAO PAULO";"DEPUTADO FEDERAL";"2701";"DEMOCRACIA CRISTA"
"CESAR ROBERTO FOFFA";"SAO PAULO";"DEPUTADO ESTADUAL";"19004";"PODEMOS"
"CEZAR RIBEIRO MELO";"PIAUI";"1º SUPLENTE";"361";"PARTIDO PATRIA LIVRE"
"CHAENE BIBIANO DA SILVA OLIVEIRA";"GOIAS";"DEPUTADO ESTADUAL";"31733";"PARTIDO HUMANISTA DA SOLIDARIEDADE"
"CHARLES NOGUEIRA LOPES";"RONDONIA";"2º SUPLENTE";"161";"PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO"
"CHARLON DE JESUS RODRIGUES DA SILVA E SILVA";"AMAPA";"DEPUTADO ESTADUAL";"90112";"PARTIDO REPUBLICANO DA ORDEM SOCIAL"
"CIBELE CAVALCANTE PESSOA";"PERNAMBUCO";"DEPUTADO ESTADUAL";"31104";"PARTIDO HUMANISTA DA SOLIDARIEDADE"
"CICERO CARDOZO DE ALMEIDA FILHO";"RORAIMA";"DEPUTADO FEDERAL";"7033";"AVANTE"
"CINTIA RODRIGUES SEVERINO";"SANTA CATARINA";"DEPUTADO FEDERAL";"3100";"PARTIDO HUMANISTA DA SOLIDARIEDADE"
"CLAIR DE FATIMA BANDEIRA SEVERO";"RIO GRANDE DO SUL";"DEPUTADO ESTADUAL";"20758";"PARTIDO SOCIAL CRISTAO"
"CLAUDETE SILVA DE SOUSA GARCIA";"GOIAS";"DEPUTADO FEDERAL";"5011";"PARTIDO SOCIALISMO E LIBERDADE"
"CLAUDIA APARECIDA RADICA";"SAO PAULO";"DEPUTADO FEDERAL";"2895";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO"
"CLAUDIA DO NASCIMENTO BECKER";"SAO PAULO";"DEPUTADO FEDERAL";"2767";"DEMOCRACIA CRISTA"
"CLAUDIA MARCIA MOREIRA MOTA";"RIO DE JANEIRO";"DEPUTADO FEDERAL";"4366";"PARTIDO VERDE"
"CLAUDIA MARILIA SAMPAIO DA SILVA";"RIO GRANDE DO SUL";"DEPUTADO ESTADUAL";"11456";"PARTIDO PROGRESSISTA"
"CLAUDIA REGINA ABREU";"RONDONIA";"2º SUPLENTE";"133";"PARTIDO DOS TRABALHADORES"
"CLAUDIA VALENTINA DA CUNHA E SILVA ";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"17072";"PARTIDO SOCIAL LIBERAL"
"CLAUDIO CARVALHO DOS SANTOS";"AMAPA";"DEPUTADO ESTADUAL";"14333";"PARTIDO TRABALHISTA BRASILEIRO"
"CLAUDIO JORGE VIDAL";"MINAS GERAIS";"DEPUTADO ESTADUAL";"14131";"PARTIDO TRABALHISTA BRASILEIRO"
"CLAUDIO SERGIO DE SOUZA SILVA";"ESPIRITO SANTO";"DEPUTADO ESTADUAL";"11611";"PARTIDO PROGRESSISTA"
"CLAUDOMIRA DE LACERDA SILVA";"PERNAMBUCO";"DEPUTADO FEDERAL";"7013";"AVANTE"
"CLEBSON JOSE GOMES DA SILVA";"SAO PAULO";"DEPUTADO FEDERAL";"5474";"PARTIDO PATRIA LIVRE"
"CLECIA GUIMARAES DE SOUZA";"BAHIA";"DEPUTADO FEDERAL";"1725";"PARTIDO SOCIAL LIBERAL"
"CLEIDE CARDOSO DE LIMA";"AMAZONAS";"DEPUTADO ESTADUAL";"51051";"PATRIOTA"
"CLEIDISON DE JESUS ROCHA";"ACRE";"DEPUTADO ESTADUAL";"15258";"MOVIMENTO DEMOCRATICO BRASILEIRO"
"CLEITON ROQUE";"RONDONIA";"DEPUTADO ESTADUAL";"40111";"PARTIDO SOCIALISTA BRASILEIRO"
"CLEONICE BUSATO";"RIO GRANDE DO SUL";"DEPUTADO ESTADUAL";"31696";"PARTIDO HUMANISTA DA SOLIDARIEDADE"
"CLESIMAR GURGEL DE AMORIM JUNIOR";"DISTRITO FEDERAL";"DEPUTADO DISTRITAL";"33193";"PARTIDO DA MOBILIZACAO NACIONAL"
"CLEUDES DE JESUS PONTES LIMA";"MARANHAO";"DEPUTADO ESTADUAL";"36555";"PARTIDO TRABALHISTA CRISTAO"
"CLEUDIA MARIA ALVES PEREIRA";"SAO PAULO";"DEPUTADO ESTADUAL";"50600";"PARTIDO SOCIALISMO E LIBERDADE"
"CLEUDISON GONCALVES PINHEIRO FILHO";"RONDONIA";"DEPUTADO ESTADUAL";"23333";"PARTIDO POPULAR SOCIALISTA"
"CLEUSA MARIA SILVA DE SOUZA";"RIO GRANDE DO SUL";"DEPUTADO FEDERAL";"9060";"PARTIDO REPUBLICANO DA ORDEM SOCIAL"
"CLEUZA DE FATIMA CAMPOS LACERDA";"MINAS GERAIS";"DEPUTADO ESTADUAL";"45345";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA"
"CLEUZA NORENY BATISTA ZEM";"MINAS GERAIS";"DEPUTADO ESTADUAL";"70055";"AVANTE"
"CLEYDE VITORIA DA SILVA ";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"10011";"PARTIDO REPUBLICANO BRASILEIRO"
"CLODOALDO SILVA AMORIM";"BAHIA";"DEPUTADO ESTADUAL";"43444";"PARTIDO VERDE"
"CLODOMILDO PEREIRA DE SOUZA";"MINAS GERAIS";"DEPUTADO FEDERAL";"2556";"DEMOCRATAS"
"COSME DE SOUZA LEITE";"ACRE";"DEPUTADO ESTADUAL";"44600";"PARTIDO REPUBLICANO PROGRESSISTA"
"COSMO PAULO MACIEL";"PERNAMBUCO";"DEPUTADO ESTADUAL";"44010";"PARTIDO REPUBLICANO PROGRESSISTA"
"CRIMILDE DE MEDEIROS MAGLIANO";"PARAIBA";"DEPUTADO ESTADUAL";"45333";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA"
"CRISTIAN FERREIRA VIANA";"DISTRITO FEDERAL";"2º SUPLENTE";"144";"PARTIDO HUMANISTA DA SOLIDARIEDADE"
"CRISTIANE COSTA SILVA";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"36850";"PARTIDO TRABALHISTA CRISTAO"
"CRISTIANE DOS SANTOS SILVA";"SAO PAULO";"DEPUTADO ESTADUAL";"70021";"AVANTE"
"CRISTIANE SANTANA ALVES POVOA MOREIRA";"DISTRITO FEDERAL";"DEPUTADO DISTRITAL";"22221";"PARTIDO DA REPUBLICA"
"CRISTIANO LUIZ CAMARA URSULINI";"SAO PAULO";"DEPUTADO ESTADUAL";"51002";"PATRIOTA"
"CRISTINA CALISTO DUARTE";"GOIAS";"DEPUTADO ESTADUAL";"31131";"PARTIDO HUMANISTA DA SOLIDARIEDADE"
"CRISTINA ELANE GUERREIRO BASTO";"AMAPA";"DEPUTADO FEDERAL";"4077";"PARTIDO SOCIALISTA BRASILEIRO"
"CRISTINA NATALICE DOS SANTOS FREITAS";"GOIAS";"DEPUTADO ESTADUAL";"27369";"DEMOCRACIA CRISTA"
"CRYSTAL DA SILVA";"SAO PAULO";"DEPUTADO FEDERAL";"3509";"PARTIDO DA MULHER BRASILEIRA"
"DAIANA DE SOUZA SILVA";"GOIAS";"DEPUTADO ESTADUAL";"11644";"PARTIDO PROGRESSISTA"
"DAIANE DO NASCIMENTO ARAUJO";"SAO PAULO";"DEPUTADO FEDERAL";"4047";"PARTIDO SOCIALISTA BRASILEIRO"
"DAISE ESPIRITO SANTO SACHETTI";"SANTA CATARINA";"DEPUTADO ESTADUAL";"10100";"PARTIDO REPUBLICANO BRASILEIRO"
"DALILA RODRIGUES SANTANA";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"65018";"PARTIDO COMUNISTA DO BRASIL"
"DALTON HAMADA";"SAO PAULO";"DEPUTADO FEDERAL";"1054";"PARTIDO REPUBLICANO BRASILEIRO"
"DALVA DO SOCORRO GOMES AMORIM";"PARA";"DEPUTADO ESTADUAL";"14345";"PARTIDO TRABALHISTA BRASILEIRO"
"DANIEL DA CRUZ SILVA";"SAO PAULO";"DEPUTADO ESTADUAL";"28878";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO"
"DANIEL FERNANDES DE OLIVEIRA";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"19456";"PODEMOS"
"DANIEL MARMELLO BAHIA ";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"13014";"PARTIDO DOS TRABALHADORES"
"DANIEL PAIVA BEZERRA";"RORAIMA";"DEPUTADO ESTADUAL";"35004";"PARTIDO DA MULHER BRASILEIRA"
"DANIEL RICARDO LANGARO";"PARANA";"DEPUTADO FEDERAL";"1511";"MOVIMENTO DEMOCRATICO BRASILEIRO"
"DANIEL SAMPAIO TOURINHO";"RIO DE JANEIRO";"DEPUTADO FEDERAL";"3636";"PARTIDO TRABALHISTA CRISTAO"
"DANIELE CRISTINA FIGUEIREDO FONTOURA";"RIO DE JANEIRO";"DEPUTADO FEDERAL";"1551";"MOVIMENTO DEMOCRATICO BRASILEIRO"
"DANIELLA VAZ MONTEIRO";"GOIAS";"DEPUTADO ESTADUAL";"40777";"PARTIDO SOCIALISTA BRASILEIRO"
"DANIELLY OLIVEIRA DE ABREU";"PARA";"DEPUTADO ESTADUAL";"51801";"PATRIOTA"
"DANNY CESAR GABRIEL DE OLIVEIRA JUMES";"SANTA CATARINA";"VICE-GOVERNADOR";"51";"PATRIOTA"
"DANUBIA SALES ALMEIDA";"SAO PAULO";"DEPUTADO ESTADUAL";"70032";"AVANTE"
"DARIO ROSALINO BRANDAO";"GOIAS";"DEPUTADO FEDERAL";"2772";"DEMOCRACIA CRISTA"
"DARIO SOUZA COELHO";"PARA";"2º SUPLENTE";"222";"PARTIDO DA REPUBLICA"
"DAVI MANOEL DOS SANTOS";"PERNAMBUCO";"DEPUTADO ESTADUAL";"70010";"AVANTE"
"DAYANE SOUSA COUTO";"GOIAS";"DEPUTADO ESTADUAL";"65005";"PARTIDO COMUNISTA DO BRASIL"
"DAYANNE BATISTA DO PRADO";"GOIAS";"DEPUTADO FEDERAL";"1330";"PARTIDO DOS TRABALHADORES"
"DAYANNY CASSIANO DE ARAUJO";"PARAIBA";"DEPUTADO ESTADUAL";"70989";"AVANTE"
"DEHON JUNIO DE MORAIS";"MINAS GERAIS";"DEPUTADO ESTADUAL";"33333";"PARTIDO DA MOBILIZACAO NACIONAL"
"DELACIR BEZERRA";"TOCANTINS";"DEPUTADO ESTADUAL";"19019";"PODEMOS"
"DELCIO PEDROSO COSTA";"RIO GRANDE DO NORTE";"DEPUTADO ESTADUAL";"10011";"PARTIDO REPUBLICANO BRASILEIRO"
"DELIO CASSIO MARQUES";"MINAS GERAIS";"DEPUTADO ESTADUAL";"22001";"PARTIDO DA REPUBLICA"
"DELMA GAMA E NARICI";"BAHIA";"DEPUTADO FEDERAL";"2822";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO"
"DELSON RODRIGUES";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"55037";"PARTIDO SOCIAL DEMOCRATICO"
"DELTA ARAUJO CAMPOS";"GOIAS";"DEPUTADO FEDERAL";"1533";"MOVIMENTO DEMOCRATICO BRASILEIRO"
"DEMETRIO EVENCIO PEREIRA";"PIAUI";"DEPUTADO ESTADUAL";"50111";"PARTIDO SOCIALISMO E LIBERDADE"
"DENISE APARECIDA JANUARIA DE ASSUNCAO";"SAO PAULO";"DEPUTADO ESTADUAL";"13271";"PARTIDO DOS TRABALHADORES"
"DENISE CHRISTIANE GOMES";"GOIAS";"DEPUTADO ESTADUAL";"50505";"PARTIDO SOCIALISMO E LIBERDADE"
"DENISE CRISTINA DE SOUZA RIBEIRO";"RIO DE JANEIRO";"DEPUTADO FEDERAL";"1225";"PARTIDO DEMOCRATICO TRABALHISTA"
"DENISE MELLO ROSA";"SAO PAULO";"DEPUTADO ESTADUAL";"33073";"PARTIDO DA MOBILIZACAO NACIONAL"
"DENIZE BROCARDO PEDROSO";"RIO GRANDE DO SUL";"DEPUTADO ESTADUAL";"14002";"PARTIDO TRABALHISTA BRASILEIRO"
"DERCI PASQUALOTTO";"SANTA CATARINA";"2º SUPLENTE";"130";"PARTIDO DOS TRABALHADORES"
"DERIVALDO SOUZA LIMA";"RONDONIA";"DEPUTADO ESTADUAL";"19333";"PODEMOS"
"DEUCIMAR TALON TOLEDO";"RIO DE JANEIRO";"DEPUTADO FEDERAL";"4441";"PARTIDO REPUBLICANO PROGRESSISTA"
"DEUSIMAR ALVES DA SILVA";"GOIAS";"DEPUTADO ESTADUAL";"33800";"PARTIDO DA MOBILIZACAO NACIONAL"
"DEUSIVETE SOUSA DOS SANTOS";"TOCANTINS";"DEPUTADO ESTADUAL";"18000";"REDE SUSTENTABILIDADE"
"DEUZIMAR RODRIGUES DE MENDONCA";"ACRE";"DEPUTADO ESTADUAL";"27333";"DEMOCRACIA CRISTA"
"DHEMERSON ADRIEL BARROSO FERREIRA";"RONDONIA";"DEPUTADO ESTADUAL";"65100";"PARTIDO COMUNISTA DO BRASIL"
"DIEGO ANDRE DA SILVA";"SANTA CATARINA";"DEPUTADO ESTADUAL";"18999";"REDE SUSTENTABILIDADE"
"DIEGO FERNANDES TEIXEIRA";"RIO GRANDE DO SUL";"DEPUTADO ESTADUAL";"90300";"PARTIDO REPUBLICANO DA ORDEM SOCIAL"
"DIEGO LIBARDI LEAL";"ESPIRITO SANTO";"1º SUPLENTE";"456";"DEMOCRATAS"
"DIERRY LUIZ ALVES MORENO";"RIO DE JANEIRO";"DEPUTADO FEDERAL";"3150";"PARTIDO HUMANISTA DA SOLIDARIEDADE"
"DILSON DE ASSIS BATISTA NETO";"PARA";"DEPUTADO ESTADUAL";"20077";"PARTIDO SOCIAL CRISTAO"
"DIMAS ROSA VAZ";"GOIAS";"DEPUTADO FEDERAL";"3176";"PARTIDO HUMANISTA DA SOLIDARIEDADE"
"DINACI RIBEIRO ALVES PIRES";"GOIAS";"DEPUTADO ESTADUAL";"28403";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO"
"DIOGENES BARBOSA PAIVA JUNIOR";"SAO PAULO";"DEPUTADO FEDERAL";"4358";"PARTIDO VERDE"
"DIOGO BATISTA SOARES";"SAO PAULO";"DEPUTADO ESTADUAL";"45050";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA"
"DIOVANA PATRICIA DA SILVA SCHNEIDER";"SANTA CATARINA";"DEPUTADO ESTADUAL";"33200";"PARTIDO DA MOBILIZACAO NACIONAL"
"DIRCEU LIMA BARRETO";"AMAPA";"DEPUTADO FEDERAL";"4004";"PARTIDO SOCIALISTA BRASILEIRO"
"DIRSOMAR FERREIRA CHAVES";"DISTRITO FEDERAL";"DEPUTADO DISTRITAL";"55333";"PARTIDO SOCIAL DEMOCRATICO"
"DJENANE COSTA D OLIVEIRA HOLANDA";"ALAGOAS";"DEPUTADO ESTADUAL";"13300";"PARTIDO DOS TRABALHADORES"
"DOMINGOS HONORATO DE MEIRA";"SAO PAULO";"DEPUTADO FEDERAL";"2712";"DEMOCRACIA CRISTA"
"DONICE NAZARE FREITAS DOS SANTOS";"AMAPA";"DEPUTADO ESTADUAL";"19128";"PODEMOS"
"DORIS DOS SANTOS BARTASSON";"GOIAS";"DEPUTADO ESTADUAL";"33135";"PARTIDO DA MOBILIZACAO NACIONAL"
"DOROTEO OLIVEIRA DE ABREU FILHO";"RIO GRANDE DO SUL";"DEPUTADO ESTADUAL";"10330";"PARTIDO REPUBLICANO BRASILEIRO"
"DOUGLAS MARTINHO SILVA DE OLIVEIRA";"GOIAS";"DEPUTADO ESTADUAL";"22333";"PARTIDO DA REPUBLICA"
"DOUGLAS SILVA DE SOUZA";"MATO GROSSO DO SUL";"DEPUTADO ESTADUAL";"12412";"PARTIDO DEMOCRATICO TRABALHISTA"
