"NOME";"UNIDADE DE FEDERACAO/PAIS";"CARGO";"NUMERO";"PARTIDO";"SITUACAO"
"ERBETE MASSAU ALVES DOS SANTOS";"MARANHAO";"DEPUTADO ESTADUAL";"27433";"DEMOCRACIA CRISTA";"1";"NAO ELEITO"
"ERCILEY PIRES SANTANA";"GOIAS";"SENADOR";"510";"PATRIOTA";"1";"NAO ELEITO"
"ERCULES RODRIGUES MONTEIRO";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"20600";"PARTIDO SOCIAL CRISTAO";"1";"SUPLENTE"
"EREMITA MOTA DE ARAUJO";"BAHIA";"1º SUPLENTE";"456";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA";"1";"NAO ELEITO"
"ERENILDA ASSIS ";"GOIAS";"VICE-GOVERNADOR";"50";"PARTIDO SOCIALISMO E LIBERDADE";"1";"NAO ELEITO"
"ERIANA VALDA DA SILVA";"MATO GROSSO";"DEPUTADO ESTADUAL";"45625";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA";"1";"SUPLENTE"
"ERIANNE GUEDES DE SOUZA";"AMAZONAS";"DEPUTADO ESTADUAL";"43321";"PARTIDO VERDE";"1";"SUPLENTE"
"ERIBERTO VITORINO DA SILVA";"PERNAMBUCO";"DEPUTADO ESTADUAL";"44255";"PARTIDO REPUBLICANO PROGRESSISTA";"1";"NAO ELEITO"
"ERIC DE SOUZA FOSSATI";"MATO GROSSO DO SUL";"DEPUTADO ESTADUAL";"19189";"PODEMOS";"1";"NAO ELEITO"
"ERIC LINS GRILO";"RIO GRANDE DO SUL";"DEPUTADO ESTADUAL";"25000";"DEMOCRATAS";"1";"ELEITO POR QP"
"ERIC VIEIRA KOTTVITZ";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"22345";"PARTIDO DA REPUBLICA";"1";"SUPLENTE"
"ERICA ALVES DE JESUS";"BAHIA";"DEPUTADO FEDERAL";"2535";"DEMOCRATAS";"1";"SUPLENTE"
"ERICA BATISTA DE SANTANA";"BAHIA";"DEPUTADO FEDERAL";"1133";"PARTIDO PROGRESSISTA";"1";"SUPLENTE"
"ERICA CLARISSA BORBA CORDEIRO";"PERNAMBUCO";"DEPUTADO ESTADUAL";"20100";"PARTIDO SOCIAL CRISTAO";"1";"ELEITO POR QP"
"ERICA COLLARES ARANTES";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"43234";"PARTIDO VERDE";"1";"SUPLENTE"
"ERICA CRISTINA CINTRA";"SAO PAULO";"DEPUTADO ESTADUAL";"19785";"PODEMOS";"1";"SUPLENTE"
"ERICA CRISTINA ROCHA GORGA";"SAO PAULO";"DEPUTADO FEDERAL";"3010";"PARTIDO NOVO";"1";"SUPLENTE"
"ERICA CRISTINA VIARO";"SAO PAULO";"DEPUTADO ESTADUAL";"70227";"AVANTE";"1";"SUPLENTE"
"ERICA DA SILVA";"SAO PAULO";"DEPUTADO ESTADUAL";"50888";"PARTIDO SOCIALISMO E LIBERDADE";"1";"ELEITO POR QP"
"ERICA DA SILVA GABRIEL RODRIGUES";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"25606";"DEMOCRATAS";"1";"SUPLENTE"
"ERICA FABIULA BARBOSA GOMES";"PERNAMBUCO";"DEPUTADO FEDERAL";"3120";"PARTIDO HUMANISTA DA SOLIDARIEDADE";"1";"SUPLENTE"
"ERICA FERREIRA SOUZA";"RIO GRANDE DO SUL";"DEPUTADO ESTADUAL";"13088";"PARTIDO DOS TRABALHADORES";"1";"SUPLENTE"
"ERICA MARQUES CIRQUEIRA";"RORAIMA";"VICE-GOVERNADOR";"50";"PARTIDO SOCIALISMO E LIBERDADE";"1";"NAO ELEITO"
"ERICA NASCIMENTO SILVA";"SAO PAULO";"DEPUTADO ESTADUAL";"51851";"PATRIOTA";"1";"SUPLENTE"
"ERICA NUNES DOS SANTOS MACHADO ";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"54322";"PARTIDO PATRIA LIVRE";"1";"SUPLENTE"
"ERICA PATRICIA DO NASCIMENTO";"RIO DE JANEIRO";"DEPUTADO FEDERAL";"4440";"PARTIDO REPUBLICANO PROGRESSISTA";"1";"SUPLENTE"
"ERICA RIBEIRO VIANA";"RONDONIA";"DEPUTADO ESTADUAL";"17069";"PARTIDO SOCIAL LIBERAL";"1";"SUPLENTE"
"ERICA VANESSA MANTOVANI";"SAO PAULO";"DEPUTADO ESTADUAL";"14222";"PARTIDO TRABALHISTA BRASILEIRO";"1";"SUPLENTE"
"ERICH DE ANDRES";"SAO PAULO";"DEPUTADO ESTADUAL";"28200";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO";"1";"NAO ELEITO"
"ERICH NEGRIS BEZERRA";"DISTRITO FEDERAL";"DEPUTADO DISTRITAL";"17171";"PARTIDO SOCIAL LIBERAL";"1";"NAO ELEITO"
"ERICK ALBERT BRANDAO EDUARDO LINS";"AMAZONAS";"DEPUTADO ESTADUAL";"12121";"PARTIDO DEMOCRATICO TRABALHISTA";"1";"SUPLENTE"
"ERICK BERKAI FERNANDES";"RIO GRANDE DO SUL";"DEPUTADO ESTADUAL";"77100";"SOLIDARIEDADE";"1";"SUPLENTE"
"ERICK CABRAL MUSSO";"ESPIRITO SANTO";"DEPUTADO ESTADUAL";"10190";"PARTIDO REPUBLICANO BRASILEIRO";"1";"ELEITO POR MEDIA"
"ERICK DA SILVA LESSA";"PERNAMBUCO";"DEPUTADO ESTADUAL";"11022";"PARTIDO PROGRESSISTA";"1";"ELEITO POR MEDIA"
"ERICK DENIL MACHADO PIMENTEL";"RIO GRANDE DO SUL";"DEPUTADO FEDERAL";"5488";"PARTIDO PATRIA LIVRE";"1";"NAO ELEITO"
"ERICK MARCEL PEREIRA SEIXAS";"PARAIBA";"DEPUTADO ESTADUAL";"44222";"PARTIDO REPUBLICANO PROGRESSISTA";"1";"NAO ELEITO"
"ERICK MARCIO MENDES MUNIZ";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"23021";"PARTIDO POPULAR SOCIALISTA";"1";"SUPLENTE"
"ERICK SANTOS NAZARETH";"MINAS GERAIS";"DEPUTADO FEDERAL";"2816";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO";"1";"NAO ELEITO"
"ERICK VINICIUS ANDRADE DA ROCHA";"DISTRITO FEDERAL";"DEPUTADO FEDERAL";"5055";"PARTIDO SOCIALISMO E LIBERDADE";"1";"NAO ELEITO"
"ERICKA DO SOCORRO DE LIMA BARBOSA DO NASCIMENTO";"PARA";"DEPUTADO ESTADUAL";"40789";"PARTIDO SOCIALISTA BRASILEIRO";"1";"SUPLENTE"
"ERICKA FRANCIELLE SOUSA DIAS";"GOIAS";"DEPUTADO ESTADUAL";"65338";"PARTIDO COMUNISTA DO BRASIL";"1";"SUPLENTE"
"ERICKA SIQUEIRA NOGUEIRA FILIPPELLI";"DISTRITO FEDERAL";"DEPUTADO DISTRITAL";"15151";"MOVIMENTO DEMOCRATICO BRASILEIRO";"1";"SUPLENTE"
"ERICKSON JOSE BLUN LIMA";"DISTRITO FEDERAL";"VICE-GOVERNADOR";"30";"PARTIDO NOVO";"1";"NAO ELEITO"
"ERICKSON PINHO DE RESENDE";"MATO GROSSO DO SUL";"DEPUTADO ESTADUAL";"36136";"PARTIDO TRABALHISTA CRISTAO";"1";"SUPLENTE"
"ERICLAUDIO ALENCAR ROCHA";"AMAPA";"DEPUTADO ESTADUAL";"12345";"PARTIDO DEMOCRATICO TRABALHISTA";"1";"SUPLENTE"
"ERICO DJAN CORTE DE ALENCAR";"PARAIBA";"DEPUTADO ESTADUAL";"23123";"PARTIDO POPULAR SOCIALISTA";"1";"ELEITO POR QP"
"ERICO GRASSI CADEMARTORI";"DISTRITO FEDERAL";"DEPUTADO DISTRITAL";"13000";"PARTIDO DOS TRABALHADORES";"1";"SUPLENTE"
"ERICO SOUSA ARAUJO";"BAHIA";"DEPUTADO ESTADUAL";"27777";"DEMOCRACIA CRISTA";"1";"SUPLENTE"
"ERICO VINICIUS PEREIRA";"SANTA CATARINA";"DEPUTADO FEDERAL";"3090";"PARTIDO NOVO";"1";"SUPLENTE"
"ERICSSON HENRIQUE LUEF";"SANTA CATARINA";"DEPUTADO FEDERAL";"1520";"MOVIMENTO DEMOCRATICO BRASILEIRO";"1";"SUPLENTE"
"ERIDAN STEFANELLI DE OLIVEIRA";"DISTRITO FEDERAL";"DEPUTADO DISTRITAL";"43061";"PARTIDO VERDE";"1";"SUPLENTE"
"ERIEDALVA DE JESUS SILVA";"BAHIA";"DEPUTADO ESTADUAL";"14222";"PARTIDO TRABALHISTA BRASILEIRO";"1";"SUPLENTE"
"ERIENE MONTEIRO DA SILVA";"AMAPA";"DEPUTADO ESTADUAL";"23180";"PARTIDO POPULAR SOCIALISTA";"1";"NAO ELEITO"
"ERIKA FABRICIA CORREA";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"19900";"PODEMOS";"1";"SUPLENTE"
"ERIKA FURTADO VIEIRA BERBERT";"DISTRITO FEDERAL";"DEPUTADO DISTRITAL";"30456";"PARTIDO NOVO";"1";"SUPLENTE"
"ERIKA GONCALVES AMORIM";"CEARA";"DEPUTADO ESTADUAL";"55000";"PARTIDO SOCIAL DEMOCRATICO";"1";"ELEITO POR QP"
"ERIKA HELENA SILVA SANTOS";"PARA";"DEPUTADO ESTADUAL";"33003";"PARTIDO DA MOBILIZACAO NACIONAL";"1";"NAO ELEITO"
"ERIKA JUCA KOKAY";"DISTRITO FEDERAL";"DEPUTADO FEDERAL";"1331";"PARTIDO DOS TRABALHADORES";"1";"ELEITO POR MEDIA"
"ERIKA LAUREN DE ARRUDA";"SAO PAULO";"DEPUTADO FEDERAL";"1083";"PARTIDO REPUBLICANO BRASILEIRO";"1";"SUPLENTE"
"ERIKA LEAO MINELLI";"MINAS GERAIS";"DEPUTADO ESTADUAL";"44838";"PARTIDO REPUBLICANO PROGRESSISTA";"1";"SUPLENTE"
"ERIKA MENDES DOS SANTOS";"MINAS GERAIS";"DEPUTADO ESTADUAL";"45555";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA";"1";"SUPLENTE"
"ERIKA MESQUITA PINTO DOS SANTOS";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"28040";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO";"1";"SUPLENTE"
"ERIKA MICHELLE OLIVEIRA SOUSA";"PIAUI";"DEPUTADO FEDERAL";"2019";"PARTIDO SOCIAL CRISTAO";"1";"NAO ELEITO"
"ERIKA MIWAKO NAKASHIMA VIEIRA";"SAO PAULO";"DEPUTADO FEDERAL";"7081";"AVANTE";"1";"NAO ELEITO"
"ERIKA NUNES DE MEDEIROS FERREIRA BORGES";"GOIAS";"DEPUTADO FEDERAL";"2939";"PARTIDO DA CAUSA OPERARIA";"1";"NAO ELEITO"
"ERIKA SIQUEIRA SANTOS";"PERNAMBUCO";"DEPUTADO ESTADUAL";"17817";"PARTIDO SOCIAL LIBERAL";"1";"SUPLENTE"
"ERIKA VIEIRA LIMA CARVALHO";"CEARA";"DEPUTADO ESTADUAL";"13131";"PARTIDO DOS TRABALHADORES";"1";"SUPLENTE"
"ERIKA WALERIA PAULINO DA SILVA";"PERNAMBUCO";"DEPUTADO ESTADUAL";"65965";"PARTIDO COMUNISTA DO BRASIL";"1";"SUPLENTE"
"ERILDO LUIZ GOMES";"BAHIA";"DEPUTADO ESTADUAL";"27888";"DEMOCRACIA CRISTA";"1";"SUPLENTE"
"ERILENE ALBUQUERQUE MORAES BARROS";"CEARA";"DEPUTADO ESTADUAL";"90944";"PARTIDO REPUBLICANO DA ORDEM SOCIAL";"1";"SUPLENTE"
"ERINALDO AMORIM DA SILVA";"PERNAMBUCO";"DEPUTADO FEDERAL";"5052";"PARTIDO SOCIALISMO E LIBERDADE";"1";"NAO ELEITO"
"ERINALDO DA SILVA OLIVEIRA";"AMAZONAS";"DEPUTADO ESTADUAL";"43143";"PARTIDO VERDE";"1";"SUPLENTE"
"ERINALDO GUILHERME DE JESUS";"SERGIPE";"DEPUTADO ESTADUAL";"65321";"PARTIDO COMUNISTA DO BRASIL";"1";"SUPLENTE"
"ERIONALDSON DOS SANTOS CASTRO";"MARANHAO";"DEPUTADO ESTADUAL";"13065";"PARTIDO DOS TRABALHADORES";"1";"SUPLENTE"
"ERIOSVALDO RENOVATO DIAS";"BAHIA";"DEPUTADO ESTADUAL";"17444";"PARTIDO SOCIAL LIBERAL";"1";"SUPLENTE"
"ERISLAN THIAGO LUCENA COSTA ";"RORAIMA";"DEPUTADO ESTADUAL";"54333";"PARTIDO PATRIA LIVRE";"1";"SUPLENTE"
"ERISVALDO BATISTA AJALA";"MATO GROSSO DO SUL";"DEPUTADO FEDERAL";"6510";"PARTIDO COMUNISTA DO BRASIL";"1";"NAO ELEITO"
"ERISVALDO BORGES FERREIRA";"BAHIA";"DEPUTADO ESTADUAL";"31110";"PARTIDO HUMANISTA DA SOLIDARIEDADE";"1";"SUPLENTE"
"ERISVALDO DE OLIVEIRA SOUZA";"RORAIMA";"DEPUTADO ESTADUAL";"43333";"PARTIDO VERDE";"1";"SUPLENTE"
"ERISVALDO FARIAS SIMOES";"DISTRITO FEDERAL";"DEPUTADO DISTRITAL";"22223";"PARTIDO DA REPUBLICA";"1";"SUPLENTE"
"ERISVALDO FREIRE";"RIO GRANDE DO NORTE";"DEPUTADO ESTADUAL";"77789";"SOLIDARIEDADE";"1";"SUPLENTE"
"ERISVALDO PEREIRA DOS SANTOS";"MINAS GERAIS";"DEPUTADO ESTADUAL";"65369";"PARTIDO COMUNISTA DO BRASIL";"1";"SUPLENTE"
"ERIVALDO ALVES PEREIRA";"DISTRITO FEDERAL";"DEPUTADO DISTRITAL";"54123";"PARTIDO PATRIA LIVRE";"1";"NAO ELEITO"
"ERIVALDO LOPES GALVAO";"ALAGOAS";"DEPUTADO ESTADUAL";"28007";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO";"1";"SUPLENTE"
"ERIVALDO NUNES LOPES";"MARANHAO";"DEPUTADO ESTADUAL";"28180";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO";"1";"SUPLENTE"
"ERIVALDO RICARDO DE SOUZA";"PARANA";"DEPUTADO ESTADUAL";"15133";"MOVIMENTO DEMOCRATICO BRASILEIRO";"1";"NAO ELEITO"
"ERIVALDO RODRIGUES ALVES";"GOIAS";"DEPUTADO ESTADUAL";"19222";"PODEMOS";"1";"SUPLENTE"
"ERIVALDO SANTIAGO LOPES";"CEARA";"DEPUTADO ESTADUAL";"33321";"PARTIDO DA MOBILIZACAO NACIONAL";"1";"NAO ELEITO"
"ERIVAM PEREIRA DA SILVA";"PARAIBA";"DEPUTADO FEDERAL";"6521";"PARTIDO COMUNISTA DO BRASIL";"1";"SUPLENTE"
"ERIVAN ALVES FARIAS";"RIO GRANDE DO NORTE";"DEPUTADO ESTADUAL";"20123";"PARTIDO SOCIAL CRISTAO";"1";"NAO ELEITO"
"ERIVAN MAIA DOS SANTOS";"PERNAMBUCO";"DEPUTADO FEDERAL";"5110";"PATRIOTA";"1";"SUPLENTE"
"ERIVANDA BARBOSA BELO";"RIO GRANDE DO NORTE";"DEPUTADO ESTADUAL";"70555";"AVANTE";"1";"SUPLENTE"
"ERIVANILDA PEREIRA DE LIMA";"RIO GRANDE DO NORTE";"DEPUTADO FEDERAL";"2845";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO";"1";"NAO ELEITO"
"ERIVELTE PEREIRA DA SILVA";"PERNAMBUCO";"DEPUTADO ESTADUAL";"65133";"PARTIDO COMUNISTA DO BRASIL";"1";"SUPLENTE"
"ERIVELTO FORLAN DUARTE CAMPOS";"DISTRITO FEDERAL";"DEPUTADO DISTRITAL";"90999";"PARTIDO REPUBLICANO DA ORDEM SOCIAL";"1";"SUPLENTE"
"ERIVELTON ANDRADE DE JESUS BRAZ";"SERGIPE";"DEPUTADO ESTADUAL";"51222";"PATRIOTA";"1";"SUPLENTE"
"ERIVELTON LIMA DE SOUZA";"RONDONIA";"DEPUTADO ESTADUAL";"10233";"PARTIDO REPUBLICANO BRASILEIRO";"1";"SUPLENTE"
"ERIVELTON LIMA SANTANA";"BAHIA";"DEPUTADO FEDERAL";"5151";"PATRIOTA";"1";"NAO ELEITO"
"ERLAN PEREIRA DA SILVA";"MATO GROSSO";"DEPUTADO ESTADUAL";"77890";"SOLIDARIEDADE";"1";"SUPLENTE"
"ERLEI GONCALVES AMARAL";"MINAS GERAIS";"DEPUTADO FEDERAL";"1791";"PARTIDO SOCIAL LIBERAL";"1";"SUPLENTE"
"ERLI RODRIGUES DA SILVA";"MINAS GERAIS";"DEPUTADO ESTADUAL";"18456";"REDE SUSTENTABILIDADE";"1";"SUPLENTE"
"ERLON CHAVES DE CASTRO";"SAO PAULO";"DEPUTADO FEDERAL";"2898";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO";"1";"NAO ELEITO"
"ERMERSON PORTO SANTOS";"SERGIPE";"DEPUTADO ESTADUAL";"20200";"PARTIDO SOCIAL CRISTAO";"1";"SUPLENTE"
"ERNALDO DE VASCONCELOS";"AMAZONAS";"DEPUTADO ESTADUAL";"23003";"PARTIDO POPULAR SOCIALISTA";"1";"NAO ELEITO"
"ERNANDE EDUARDO DA SILVA ";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"45513";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA";"1";"SUPLENTE"
"ERNANDES FERREIRA GOUVEIA";"PARAIBA";"DEPUTADO ESTADUAL";"12345";"PARTIDO DEMOCRATICO TRABALHISTA";"1";"SUPLENTE"
"ERNANDES HERCULANO SARAIVA";"AMAZONAS";"DEPUTADO ESTADUAL";"18789";"REDE SUSTENTABILIDADE";"1";"NAO ELEITO"
"ERNANDES MACIEL DE ARAUJO";"GOIAS";"DEPUTADO ESTADUAL";"51551";"PATRIOTA";"1";"SUPLENTE"
"ERNANE ALTAIR DE PAULA FILHO";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"11044";"PARTIDO PROGRESSISTA";"1";"SUPLENTE"
"ERNANE NELES DE RESENDE PINTO";"MINAS GERAIS";"DEPUTADO FEDERAL";"2324";"PARTIDO POPULAR SOCIALISTA";"1";"SUPLENTE"
"ERNANI BOLDRIM DE FREITAS LIMA";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"90123";"PARTIDO REPUBLICANO DA ORDEM SOCIAL";"1";"SUPLENTE"
"ERNANI DONIZETI DE GODOY";"SANTA CATARINA";"DEPUTADO FEDERAL";"4000";"PARTIDO SOCIALISTA BRASILEIRO";"1";"SUPLENTE"
"ERNANI GALVAO IGNACIO";"RIO GRANDE DO SUL";"DEPUTADO FEDERAL";"6516";"PARTIDO COMUNISTA DO BRASIL";"1";"NAO ELEITO"
"ERNANI JOSE DE PAULA";"GOIAS";"DEPUTADO ESTADUAL";"11888";"PARTIDO PROGRESSISTA";"1";"NAO ELEITO"
"ERNANI MARCOS DO CARMO";"MINAS GERAIS";"DEPUTADO FEDERAL";"3151";"PARTIDO HUMANISTA DA SOLIDARIEDADE";"1";"SUPLENTE"
"ERNANI MESQUITA DA SILVA";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"45007";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA";"1";"SUPLENTE"
"ERNANI PECHMANN";"PARANA";"DEPUTADO FEDERAL";"3000";"PARTIDO NOVO";"1";"NAO ELEITO"
"ERNANI POLO";"RIO GRANDE DO SUL";"DEPUTADO ESTADUAL";"11411";"PARTIDO PROGRESSISTA";"1";"ELEITO POR QP"
"ERNATAN BENEVIDES OLIVEIRA JUNIOR";"DISTRITO FEDERAL";"DEPUTADO DISTRITAL";"31333";"PARTIDO HUMANISTA DA SOLIDARIEDADE";"1";"SUPLENTE"
"ERNESTINA SIMOES BRANDAO";"ESPIRITO SANTO";"DEPUTADO ESTADUAL";"19111";"PODEMOS";"1";"SUPLENTE"
"ERNESTO CAMARSANO JUNIOR";"SAO PAULO";"DEPUTADO FEDERAL";"5144";"PATRIOTA";"1";"NAO ELEITO"
"ERNESTO FERREIRA SOARES";"DISTRITO FEDERAL";"DEPUTADO DISTRITAL";"14014";"PARTIDO TRABALHISTA BRASILEIRO";"1";"NAO ELEITO"
"ERNESTO FREIRE PICHLER";"SAO PAULO";"DEPUTADO ESTADUAL";"21100";"PARTIDO COMUNISTA BRASILEIRO";"1";"SUPLENTE"
"ERNESTO LAZARO MAIA";"PERNAMBUCO";"DEPUTADO FEDERAL";"1312";"PARTIDO DOS TRABALHADORES";"1";"SUPLENTE"
"ERNESTO MOLINARI JUNIOR";"GOIAS";"DEPUTADO ESTADUAL";"13010";"PARTIDO DOS TRABALHADORES";"1";"SUPLENTE"
"ERNESTO SOUSA HERRERA";"PARA";"DEPUTADO ESTADUAL";"23012";"PARTIDO POPULAR SOCIALISTA";"1";"SUPLENTE"
"ERNESTO TEIXEIRA DA CUNHA";"SAO PAULO";"DEPUTADO ESTADUAL";"19910";"PODEMOS";"1";"SUPLENTE"
"EROCI PEREIRA DA COSTA";"RIO DE JANEIRO";"DEPUTADO FEDERAL";"5441";"PARTIDO PATRIA LIVRE";"1";"NAO ELEITO"
"ERON GASPAR DA SILVA GARCIA";"RIO GRANDE DO SUL";"DEPUTADO FEDERAL";"1718";"PARTIDO SOCIAL LIBERAL";"1";"SUPLENTE"
"ERONDINA DO AMARAL DOMINGOS DA SILVA ";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"31431";"PARTIDO HUMANISTA DA SOLIDARIEDADE";"1";"SUPLENTE"
"ERONDINA MARIA GOMES";"ESPIRITO SANTO";"DEPUTADO FEDERAL";"1233";"PARTIDO DEMOCRATICO TRABALHISTA";"1";"SUPLENTE"
"ERONDINA PEREIRA DA SILVA MANSO";"RIO DE JANEIRO";"DEPUTADO FEDERAL";"2028";"PARTIDO SOCIAL CRISTAO";"1";"SUPLENTE"
"ERONICA ALVES SILVA";"SANTA CATARINA";"DEPUTADO ESTADUAL";"17289";"PARTIDO SOCIAL LIBERAL";"1";"SUPLENTE"
"ERONILDES VASCONCELOS CARVALHO";"BAHIA";"DEPUTADO FEDERAL";"1012";"PARTIDO REPUBLICANO BRASILEIRO";"1";"SUPLENTE"
"ERONILDO BRAGA BEZERRA";"AMAZONAS";"DEPUTADO ESTADUAL";"65656";"PARTIDO COMUNISTA DO BRASIL";"1";"SUPLENTE"
"EROS FERREIRA BIONDINI";"MINAS GERAIS";"DEPUTADO FEDERAL";"9033";"PARTIDO REPUBLICANO DA ORDEM SOCIAL";"1";"ELEITO POR QP"
"EROS GOMES RIBEIRO";"SAO PAULO";"DEPUTADO ESTADUAL";"44201";"PARTIDO REPUBLICANO PROGRESSISTA";"1";"NAO ELEITO"
"EROTIDES SOUZA DE ALMEIDA JUNIOR";"DISTRITO FEDERAL";"DEPUTADO DISTRITAL";"45123";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA";"1";"NAO ELEITO"
"ERRINELSON VIEIRA PIMENTEL";"AMAPA";"DEPUTADO ESTADUAL";"22193";"PARTIDO DA REPUBLICA";"1";"SUPLENTE"
"ERUNDINO PRADO JUNIOR";"SERGIPE";"DEPUTADO FEDERAL";"1859";"REDE SUSTENTABILIDADE";"1";"NAO ELEITO"
"ESAM GIRIES ELALI";"RIO GRANDE DO NORTE";"DEPUTADO ESTADUAL";"20018";"PARTIDO SOCIAL CRISTAO";"1";"SUPLENTE"
"ESAU DE ALMEIDA CRUZ";"AMAZONAS";"DEPUTADO ESTADUAL";"65123";"PARTIDO COMUNISTA DO BRASIL";"1";"SUPLENTE"
"ESDRA BATISTA NASCIMENTO";"SAO PAULO";"DEPUTADO ESTADUAL";"70010";"AVANTE";"1";"SUPLENTE"
"ESDRAS DE ARRUDA BATISTA";"PARAIBA";"DEPUTADO ESTADUAL";"17190";"PARTIDO SOCIAL LIBERAL";"1";"SUPLENTE"
"ESDRAS HERLLEM DO AMARAL PANTOJA";"AMAPA";"DEPUTADO ESTADUAL";"36900";"PARTIDO TRABALHISTA CRISTAO";"1";"SUPLENTE"
"ESDRAS QUEIROZ DE SOUTO";"PERNAMBUCO";"DEPUTADO ESTADUAL";"12111";"PARTIDO DEMOCRATICO TRABALHISTA";"1";"SUPLENTE"
"ESIEL GALDINO DE OLIVEIRA";"RIO GRANDE DO NORTE";"DEPUTADO ESTADUAL";"28012";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO";"1";"NAO ELEITO"
"ESIO DE JESUS VIANA";"MINAS GERAIS";"DEPUTADO FEDERAL";"1778";"PARTIDO SOCIAL LIBERAL";"1";"SUPLENTE"
"ESMAEL BARBOSA DE ALMEIDA";"ESPIRITO SANTO";"DEPUTADO ESTADUAL";"55000";"PARTIDO SOCIAL DEMOCRATICO";"1";"SUPLENTE"
"ESMAR DA VITORIA COSTA";"ESPIRITO SANTO";"DEPUTADO ESTADUAL";"18456";"REDE SUSTENTABILIDADE";"1";"SUPLENTE"
"ESMAR GRACIANO SANTOS";"GOIAS";"DEPUTADO ESTADUAL";"19700";"PODEMOS";"1";"SUPLENTE"
"ESMERALDA BARBOSA GARCIA";"AMAPA";"DEPUTADO ESTADUAL";"18003";"REDE SUSTENTABILIDADE";"1";"SUPLENTE"
"ESMERALDA FURTADO DA SILVA";"RIO DE JANEIRO";"DEPUTADO FEDERAL";"1216";"PARTIDO DEMOCRATICO TRABALHISTA";"1";"SUPLENTE"
"ESMERALDA ROBERTO DE SOUSA LIMA";"CEARA";"DEPUTADO FEDERAL";"1533";"MOVIMENTO DEMOCRATICO BRASILEIRO";"1";"SUPLENTE"
"ESMERALDINO CORREIA SANTOS";"BAHIA";"DEPUTADO ESTADUAL";"45112";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA";"1";"SUPLENTE"
"ESMERALDO LEAL DOS SANTOS";"SERGIPE";"DEPUTADO ESTADUAL";"13000";"PARTIDO DOS TRABALHADORES";"1";"SUPLENTE"
"ESMERINO NERI BATISTA FILHO";"PARA";"DEPUTADO FEDERAL";"1380";"PARTIDO DOS TRABALHADORES";"1";"SUPLENTE"
"ESMERINO OLIVEIRA ARRUDA COELHO JUNIOR";"CEARA";"DEPUTADO ESTADUAL";"11222";"PARTIDO PROGRESSISTA";"1";"SUPLENTE"
"ESPERIDIAO AMIN HELOU FILHO";"SANTA CATARINA";"SENADOR";"111";"PARTIDO PROGRESSISTA";"1";"ELEITO"
"ESPERIDIAO MENEZES JUNIOR";"ACRE";"DEPUTADO ESTADUAL";"15100";"MOVIMENTO DEMOCRATICO BRASILEIRO";"1";"NAO ELEITO"
"ESTANISLEY DO NASCIMENTO CORREA";"PARA";"DEPUTADO ESTADUAL";"20123";"PARTIDO SOCIAL CRISTAO";"1";"SUPLENTE"
"ESTEFANE CELIS ARAUJO";"DISTRITO FEDERAL";"DEPUTADO FEDERAL";"1221";"PARTIDO DEMOCRATICO TRABALHISTA";"1";"SUPLENTE"
"ESTEFANY CAROLINE MONTEIRO DUARTE";"AMAPA";"DEPUTADO FEDERAL";"2232";"PARTIDO DA REPUBLICA";"1";"SUPLENTE"
"ESTELA APARECIDA MENEZES CLAUDINO";"SANTA CATARINA";"DEPUTADO FEDERAL";"1990";"PODEMOS";"1";"NAO ELEITO"
"ESTELA SOUZA DOS ANJOS PRADO";"GOIAS";"DEPUTADO FEDERAL";"2022";"PARTIDO SOCIAL CRISTAO";"1";"NAO ELEITO"
"ESTELIZABEL BEZERRA DE SOUZA";"PARAIBA";"DEPUTADO ESTADUAL";"40000";"PARTIDO SOCIALISTA BRASILEIRO";"1";"ELEITO POR QP"
